Zip_Code,City
35004,Moody
35005,Adamsville
35006,Adger
35007,Alabaster
35013,Allgood
35020,Bessemer
35022,Bessemer
35023,Hueytown
35031,Blountsville
35034,Brent
35035,Brierfield
35036,Brookside
35040,Calera
35042,Centreville
35043,Chelsea
35045,Clanton
35046,Clanton
35049,Cleveland
35051,Columbiana
35052,Cook
35054,Cropwell
35060,Docena
35061,Birmingham
35062,Dora
35063,Empire
35064,Fairfield
35068,Fultondale
35071,Gardendale
35073,Graysville
35074,Green
35078,Harpersville
35079,Hayden
35080,Helena
35085,Jemison
35091,Kimberly
35094,Leeds
35097,Locust
35111,Mc
35112,Margaret
35114,Alabaster
35115,Montevallo
35116,Morris
35117,Mount
35118,Sylvan
35119,New
35120,Odenville
35121,Oneonta
35124,Pelham
35125,Pell
35126,Pinson
35127,Pleasant
35128,Pell
35130,Quinton
35131,Ragland
35133,Remlap
35135,Riverside
35139,Sayre
35143,Shelby
35146,Springville
35147,Chelsea
35148,Sumiton
35171,Thorsby
35172,Trafford
35173,Trussville
35176,Vandiver
35178,Vincent
35180,Warrior
35184,West
35186,Wilsonville
35187,Wilton
35188,Woodstock
35203,Birmingham
35204,Birmingham
35205,Birmingham
35206,Birmingham
35207,Birmingham
35208,Birmingham
35209,Homewood
35210,Irondale
35211,Birmingham
35212,Birmingham
35213,Mountain
35214,Forestdale
35215,Birmingham
35216,Vestavia
35217,Tarrant
35218,Birmingham
35221,Birmingham
35222,Birmingham
35223,Mountain
35224,Birmingham
35226,Hoover
35228,Midfield
35229,Homewood
35233,Birmingham
35234,Birmingham
35235,Birmingham
35242,Hoover
35243,Vestavia
35244,Hoover
35254,Birmingham
35501,Jasper
35503,Jasper
35504,Jasper
35549,Carbon
35550,Cordova
35554,Eldridge
35578,Nauvoo
35579,Oakman
35580,Parrish
35584,Sipsey
35587,Townley
35953,Ashville
35987,Steele
36091,Verbena
36750,Maplesville
36790,Stanton
36792,Randolph
36793,Lawley
